year,genre,avg_rating,albums_count,ratings_count,critic_score,user_score,score_gap,ai_sensitivity,collection_date,source,is_synthetic,provenance_status
2016,Ambient,7.02,279,18046,68.3,7.1,0.16,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2017,Ambient,7.44,254,18493,78.4,7.4,0.83,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2018,Ambient,6.52,272,18785,76.4,6.9,0.06,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2019,Ambient,6.9,298,19787,74.8,7.1,0.41,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2020,Ambient,6.88,314,20222,75.2,7.3,0.09,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2021,Ambient,6.41,294,20398,78.3,7.3,0.65,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2022,Ambient,6.92,293,21158,79.3,7.5,0.24,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2023,Ambient,6.86,332,21423,76.4,7.0,0.64,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2024,Ambient,6.85,334,21927,77.9,6.5,0.18,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2025,Ambient,6.31,339,22343,72.0,7.1,0.72,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2026,Ambient,6.72,309,22976,80.6,7.2,0.66,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2010,Blues,7.05,252,14885,71.9,6.6,0.18,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2011,Blues,6.45,245,15450,78.6,7.4,0.36,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2012,Blues,7.03,257,16040,67.2,7.2,0.81,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2013,Blues,6.77,270,16178,67.2,7.1,0.37,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2014,Blues,6.68,299,17242,78.1,6.7,0.51,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2015,Blues,7.04,246,17543,71.9,7.3,0.4,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2016,Blues,6.56,250,18157,74.7,6.6,0.33,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2017,Blues,6.69,278,18381,70.7,7.4,0.09,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2018,Blues,7.48,284,18891,68.6,7.0,0.13,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2019,Blues,6.35,275,19571,70.6,7.6,0.52,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2020,Blues,7.07,292,20008,79.5,6.6,0.41,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2021,Blues,6.82,329,20324,71.3,7.1,0.57,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2022,Blues,6.97,307,21009,75.5,7.5,0.1,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2023,Blues,7.16,289,21388,74.4,6.8,0.58,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2024,Blues,6.85,325,22006,69.5,6.5,0.69,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2025,Blues,7.09,340,22635,70.8,7.6,0.44,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2026,Blues,6.73,332,23173,67.2,7.5,0.77,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2010,Reggae,7.0,284,15001,77.9,7.1,0.5,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2011,Reggae,6.76,243,15653,77.8,6.2,0.56,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2012,Reggae,6.86,250,15961,72.7,7.3,0.2,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2013,Reggae,7.09,258,16583,68.1,6.7,0.7,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2014,Reggae,7.15,295,16826,76.8,7.2,0.35,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2015,Reggae,6.46,285,17353,73.5,6.9,0.79,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2016,Reggae,6.99,310,17648,65.1,6.9,0.52,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2017,Reggae,6.61,279,18436,77.0,7.1,0.15,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2018,Reggae,7.05,290,18925,76.0,7.2,0.54,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2019,Reggae,7.25,309,19421,66.0,7.5,0.58,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2020,Reggae,6.49,308,20118,82.0,6.7,0.26,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2021,Reggae,7.06,301,20479,77.4,6.9,0.52,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2022,Reggae,7.03,336,20927,71.0,7.0,0.49,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2023,Reggae,6.98,307,21464,74.0,7.6,0.46,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2024,Reggae,7.02,340,22011,75.1,7.3,0.55,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2025,Reggae,6.83,300,22599,68.8,7.2,0.47,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2026,Reggae,6.96,317,22792,74.6,7.1,0.67,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2010,Alt. Rock,6.76,260,14859,81.5,7.2,0.68,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2011,Alt. Rock,7.37,290,15448,73.5,6.6,0.6,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2012,Alt. Rock,7.02,270,15941,65.7,6.7,0.02,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2013,Alt. Rock,7.01,244,16451,78.6,6.7,0.2,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2014,Alt. Rock,7.01,264,16906,73.9,6.8,0.34,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2015,Alt. Rock,6.95,269,17713,78.1,6.9,0.74,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2016,Alt. Rock,7.29,278,18023,75.1,7.0,0.31,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2017,Alt. Rock,6.55,291,18605,69.5,7.1,0.55,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2018,Alt. Rock,7.17,311,18969,68.6,7.5,0.22,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2019,Alt. Rock,6.69,319,19367,81.1,6.8,0.08,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2020,Alt. Rock,7.28,290,20097,74.7,7.3,0.19,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2021,Alt. Rock,6.97,304,20474,76.7,7.1,0.83,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2022,Alt. Rock,7.17,304,20938,78.0,6.9,0.05,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2023,Alt. Rock,6.79,263,21460,74.1,6.0,0.19,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2024,Alt. Rock,7.49,324,22034,79.0,7.0,0.71,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2025,Alt. Rock,7.03,348,22529,75.7,7.3,0.94,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2026,Alt. Rock,6.8,342,23189,71.0,6.8,0.43,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2010,Pop Rock,6.73,237,14974,84.7,7.0,0.89,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2011,Pop Rock,7.08,272,15492,77.5,7.1,0.41,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2012,Pop Rock,7.12,254,15987,80.7,7.0,0.22,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2013,Pop Rock,7.16,286,16337,70.5,6.5,0.58,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2014,Pop Rock,6.99,282,17034,64.7,6.9,0.74,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2015,Pop Rock,6.71,263,17323,78.3,7.2,0.49,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2016,Pop Rock,7.06,296,18021,81.0,7.5,0.97,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2017,Pop Rock,6.7,281,18495,80.6,6.9,0.24,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2018,Pop Rock,7.24,267,19112,73.2,6.3,0.65,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2019,Pop Rock,6.79,302,19650,67.3,6.8,0.71,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2020,Pop Rock,6.82,304,19975,65.2,7.2,0.0,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2021,Pop Rock,7.09,304,20172,71.8,7.2,0.37,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2022,Pop Rock,7.29,317,21052,70.7,6.5,0.59,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2023,Pop Rock,6.82,338,21264,65.0,6.5,0.91,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2024,Pop Rock,7.33,325,21977,64.2,6.8,1.04,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2025,Pop Rock,6.79,303,22445,73.4,7.5,0.12,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2026,Pop Rock,7.23,349,23127,68.6,7.0,0.87,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
